zh,pinyin
根,gēn
干,gàn
造,zào
言,yán
联,lián
持,chí
组,zǔ
每,měi
济,jì
车,chē
亲,qīn
极,jí
林,lín
服,fú
快,kuài
办,bàn
议,yì
往,wǎng
元,yuán
英,yīng
士,shì
证,zhèng
近,jìn
失,shī
转,zhuǎn
夫,fū
令,lìng
准,zhǔn
布,bù
始,shǐ
怎,zěn
呢,ne
存,cún
未,wèi
远,yuǎn
叫,jiào
台,tái
单,dān
影,yǐng
具,jù
字,zì
爱,ài
击,jī
流,liú
备,bèi
兵,bīng
连,lián
调,diào
深,shēn
商,shāng
算,suàn
质,zhì
团,tuán
集,jí
百,bǎi
需,xū
价,jià
花,huā
党,dǎng
华,huá
城,chéng
石,shí
级,jí
整,zhěng
府,fǔ
离,lí
况,kuàng
亚,yà
请,qǐng
技,jì
际,jì
约,yuē
示,shì
复,fù
病,bìng
息,xī
究,jiū
线,xiàn
似,shì
官,guān
火,huǒ
断,duàn
精,jīng
满,mǎn
支,zhī
视,shì
消,xiāo
越,yuè
器,qì
容,róng
照,zhào
须,xū
九,jiǔ
增,zēng
研,yán
写,xiě
称,chēng
企,qǐ
八,bā
功,gōng
吗,ma
包,bāo
片,piàn
史,shǐ
委,wěi
乎,hū
查,chá
轻,qīng
易,yì
早,zǎo
曾,céng
除,chú
农,nóng
找,zhǎo
装,zhuāng
广,guǎng
显,xiǎn
吧,ba
阿,ā
李,lǐ
标,biāo
谈,tán
吃,chī
图,tú
念,niàn
六,liù
引,yǐn
历,lì
首,shǒu
医,yī
局,jú
突,tū
专,zhuān
费,fèi
号,hào
尽,jǐn
另,lìng
周,zhōu
较,jiào
注,zhù
语,yǔ
仅,jǐn
考,kǎo
落,luò
青,qīng
随,suí
选,xuǎn
列,liè
武,wǔ
红,hóng
响,xiǎng
虽,suī
推,tuī
势,shì
参,cān
希,xī
古,gǔ
众,zhòng
构,gòu
房,fáng
半,bàn
节,jié
土,tǔ
投,tóu
某,mǒu
案,àn
黑,hēi
维,wéi
革,gé
划,huà
敌,dí
致,zhì
律,lǜ
足,zú
态,tài
护,hù
七,qī
兴,xīng
派,pài
孩,hái
验,yàn
责,zé
营,yíng
星,xīng
够,gòu
章,zhāng
音,yīn
跟,gēn
志,zhì
底,dǐ
站,zhàn
严,yán
巴,bā
例,lì
防,fáng
族,zú
供,gōng
效,xiào
续,xù
施,shī
留,liú
讲,jiǎng
型,xíng
料,liào
终,zhōng
答,dá
紧,jǐn
黄,huáng
绝,jué
奇,qí
察,chá
母,mǔ
京,jīng
段,duàn
依,yī
批,pī
群,qún
项,xiàng
故,gù
按,àn
河,hé
米,mǐ
围,wéi
江,jiāng
织,zhī
害,hài
斗,dòu
双,shuāng
境,jìng
客,kè
纪,jì
采,cǎi
举,jǔ
杀,shā
攻,gōng
父,fù
苏,sū
密,mì
低,dī
朝,cháo
友,yǒu
诉,sù
止,zhǐ
细,xì
愿,yuàn
千,qiān
值,zhí
仍,réng
男,nán
钱,qián
破,pò
网,wǎng
热,rè
助,zhù
倒,dào
育,yù
属,shǔ
坐,zuò
帝,dì
限,xiàn
船,chuán
脸,liǎn
职,zhí
速,sù
刻,kè
乐,lè
否,fǒu
刚,gāng
威,wēi
毛,máo
状,zhuàng
率,lǜ
甚,shèn
独,dú
球,qiú
般,bān
普,pǔ
怕,pà
弹,dàn
校,xiào
苦,kǔ
创,chuàng
假,jiǎ
久,jiǔ
错,cuò
承,chéng
印,yìn
晚,wǎn
试,shì
股,gǔ
拿,ná
脑,nǎo
预,yù
谁,shuí
益,yì
阳,yáng
若,ruò
哪,nǎ
微,wēi
继,jì
送,sòng
急,jí
血,xuè
惊,jīng
伤,shāng
素,sù
药,yào
适,shì
波,bō
夜,yè
省,shěng
初,chū
喜,xǐ
卫,wèi
源,yuán
食,shí
险,xiǎn
待,dài
述,shù
陆,lù
习,xí
置,zhì
居,jū
劳,láo
财,cái
环,huán
排,pái
福,fú
纳,nà
欢,huān
雷,léi
警,jǐng
获,huò
模,mó
充,chōng
负,fù
云,yún
停,tíng
木,mù
游,yóu
龙,lóng
树,shù
疑,yí
层,céng
冷,lěng
冲,chōng
射,shè
略,lüè
范,fàn
竟,jìng
句,jù
室,shì
异,yì
激,jī
汉,hàn
村,cūn
哈,hā
策,cè
演,yǎn
简,jiǎn
卡,kǎ
罪,zuì
判,pàn
担,dān
静,jìng
退,tuì
既,jì
衣,yī
您,nín
宗,zōng
积,jī
余,yú
痛,tòng
检,jiǎn
差,chà
富,fù
灵,líng
协,xié
角,jiǎo
占,zhàn
配,pèi
征,zhēng
修,xiū
皮,pí
挥,huī
胜,shèng
降,jiàng
阶,jiē
审,shěn
沉,chén
坚,jiān
善,shàn
妈,mā
读,dú
啊,a
超,chāo
免,miǎn
压,yā
银,yín
买,mǎi
皇,huáng
养,yǎng
怀,huái
执,zhí
副,fù
乱,luàn
抗,kàng
犯,fàn
追,zhuī
帮,bāng
宣,xuān
佛,fú
岁,suì
航,háng
优,yōu
怪,guài
香,xiāng
著,zhù
田,tián
铁,tiě
控,kòng
税,shuì
左,zuǒ
右,yòu
份,fèn
穿,chuān
艺,yì
背,bèi
阵,zhèn
草,cǎo
脚,jiǎo
概,gài
恶,è
块,kuài
顿,dùn
敢,gǎn
守,shǒu
酒,jiǔ
岛,dǎo
托,tuō
央,yāng
户,hù
烈,liè
洋,yáng
哥,gē
索,suǒ
胡,hú
款,kuǎn
靠,kào
评,píng
版,bǎn
宝,bǎo
座,zuò
释,shì
景,jǐng
顾,gù
弟,dì
登,dēng
货,huò
互,hù
付,fù
慢,màn
换,huàn
闻,wén
危,wēi
忙,máng
核,hé
暗,àn
姐,jiě
介,jiè
坏,huài
讨,tǎo
丽,lì
良,liáng
序,xù
升,shēng
监,jiān
临,lín
亮,liàng
露,lù
永,yǒng
呼,hū
味,wèi
野,yě
架,jià
域,yù
沙,shā
掉,diào
括,kuò
舰,jiàn
鱼,yú
杂,zá
误,wù
湾,wān
吉,jí
减,jiǎn
编,biān
楚,chǔ
肯,kěn
测,cè
败,bài
屋,wū
跑,pǎo
梦,mèng
散,sàn
温,wēn
困,kùn
剑,jiàn
渐,jiàn
封,fēng
救,jiù
贵,guì
枪,qiāng
缺,quē
楼,lóu
县,xiàn
尚,shàng
毫,háo
移,yí
娘,niáng
朋,péng
画,huà
班,bān
智,zhì
耳,ěr
恩,ēn
短,duǎn
掌,zhǎng
恐,kǒng
遗,yí
固,gù
席,xí
松,sōng
秘,mì
谢,xiè
遇,yù
康,kāng
虑,lǜ
幸,xìng
均,jūn
销,xiāo
钟,zhōng
诗,shī
藏,cáng
赶,gǎn
剧,jù
票,piào
损,sǔn
忽,hū
巨,jù
炮,pào
旧,jiù
端,duān
探,tàn
湖,hú
录,lù
叶,yè
春,chūn
乡,xiāng
附,fù
吸,xī
予,yǔ
礼,lǐ
港,gǎng
雨,yǔ
呀,ya
板,bǎn
庭,tíng
妇,fù
归,guī
睛,jīng
饭,fàn
额,é
含,hán
顺,shùn
输,shū
摇,yáo
招,zhāo
婚,hūn
脱,tuō
补,bǔ
谓,wèi
督,dū
毒,dú
油,yóu
疗,liáo
旅,lǚ
材,cái
灭,miè
逐,zhú
笔,bǐ
亡,wáng
鲜,xiān
词,cí
圣,shèng
择,zé
寻,xún
厂,chǎng
睡,shuì
博,bó
烟,yān
授,shòu
诺,nuò
岸,àn
卖,mài
炸,zhà
载,zài
健,jiàn
堂,táng
旁,páng
宫,gōng
喝,hē
借,jiè
禁,jìn
阴,yīn
园,yuán
谋,móu
避,bì
抓,zhuā
荣,róng
姑,gū
孙,sūn
逃,táo
牙,yá
束,shù
跳,tiào
顶,dǐng
玉,yù
镇,zhèn
雪,xuě
午,wǔ
练,liàn
迫,pò
爷,yé
篇,piān
肉,ròu
嘴,zuǐ
馆,guǎn
遍,biàn
凡,fán
础,chǔ
洞,dòng
卷,juǎn
坦,tǎn
牛,niú
宁,níng
纸,zhǐ
诸,zhū
训,xùn
私,sī
庄,zhuāng
祖,zǔ
翻,fān
暴,bào
森,sēn
塔,tǎ
默,mò
握,wò
戏,xì
隐,yǐn
熟,shú
骨,gǔ
访,fǎng
弱,ruò
蒙,méng
歌,gē
店,diàn
鬼,guǐ
软,ruǎn
典,diǎn
欲,yù
伙,huǒ
遭,zāo
盘,pán
爸,bà
扩,kuò
盖,gài
弄,nòng
雄,xióng
稳,wěn
忘,wàng
亿,yì
刺,cì
拥,yōng
徒,tú
齐,qí
赛,sài
趣,qù
曲,qū
刀,dāo
床,chuáng
迎,yíng
冰,bīng
虚,xū
玩,wán
析,xī
窗,chuāng
醒,xǐng
妻,qī
透,tòu
购,gòu
替,tì
塞,sāi
努,nǔ
休,xiū
虎,hǔ
扬,yáng
途,tú
侵,qīn
绿,lǜ
兄,xiōng
迅,xùn
套,tào
贸,mào
毕,bì
唯,wéi
谷,gǔ
轮,lún
库,kù
尤,yóu
竞,jìng
街,jiē
促,cù
延,yán
震,zhèn
弃,qì
甲,jiǎ
伟,wěi
麻,má
申,shēn
缓,huǎn
潜,qián
闪,shǎn
售,shòu
灯,dēng
针,zhēn
哲,zhé
络,luò
抵,dǐ
抱,bào
鼓,gǔ
植,zhí
纯,chún
夏,xià
忍,rěn
页,yè
杰,jié
筑,zhù
折,zhé
贝,bèi
尊,zūn
秀,xiù
混,hùn
振,zhèn
染,rǎn
盛,shèng
怒,nù
舞,wǔ
圆,yuán
搞,gǎo
狂,kuáng
措,cuò
姓,xìng
残,cán
秋,qiū
培,péi
迷,mí
诚,chéng
宽,kuān
宇,yǔ
猛,měng
摆,bǎi
梅,méi
毁,huǐ
伸,shēn
摩,mó
盟,méng
末,mò
悲,bēi
拍,pāi
硬,yìng
麦,mài
操,cāo
阻,zǔ
订,dìng
彩,cǎi
抽,chōu
赞,zàn
纷,fēn
沿,yán
喊,hǎn
违,wéi
妹,mèi
浪,làng
汇,huì
币,bì
丰,fēng
蓝,lán
殊,shū
献,xiàn
桌,zhuō
啦,la
援,yuán
译,yì
夺,duó
汽,qì
烧,shāo
距,jù
裁,cái
偏,piān
符,fú
勇,yǒng
触,chù
课,kè
敬,jìng
哭,kū
懂,dǒng
墙,qiáng
召,zhào
罚,fá
厅,tīng
拜,bài
巧,qiǎo
侧,cè
冒,mào
债,zhài
融,róng
惯,guàn
享,xiǎng
戴,dài
童,tóng
犹,yóu
乘,chéng
挂,guà
奖,jiǎng
绍,shào
厚,hòu
纵,zòng
障,zhàng
讯,xùn
涉,shè
彻,chè
刊,kān
丈,zhàng
爆,bào
乌,wū
描,miáo
洗,xǐ
患,huàn
妙,miào
镜,jìng
唱,chàng
烦,fán
签,qiān
彼,bǐ
症,zhèng
仿,fǎng
倾,qīng
牌,pái
陷,xiàn
鸟,niǎo
咱,zán
菜,cài
闭,bì
奋,fèn
庆,qìng
撤,chè
泪,lèi
茶,chá
疾,jí
缘,yuán
播,bō
朗,lǎng
奶,nǎi
季,jì
狗,gǒu
尾,wěi
仪,yí
偷,tōu
奔,bēn
珠,zhū
虫,chóng
驻,zhù
宜,yí
桥,qiáo
淡,dàn
恨,hèn
繁,fán
寒,hán
伴,bàn
叹,tàn
旦,dàn
潮,cháo
粮,liáng
缩,suō
罢,bà
聚,jù
径,jìng
恰,qià
挑,tiāo
袋,dài
灰,huī
捕,bǔ
珍,zhēn
幕,mù
映,yìng
裂,liè
隔,gé
启,qǐ
尖,jiān
忠,zhōng
累,lèi
炎,yán
暂,zàn
估,gū
泛,fàn
偿,cháng
横,héng
拒,jù
忆,yì
孤,gū
鼻,bí
闹,nào
羊,yáng
呆,dāi
厉,lì
衡,héng
胞,bāo
零,líng
穷,qióng
舍,shě
码,mǎ
婆,pó
灾,zāi
洪,hóng
腿,tuǐ
胆,dǎn
俗,sú
辩,biàn
胸,xiōng
晓,xiǎo
劲,jìn
贫,pín
偶,ǒu
辑,jí
恢,huī
赖,lài
圈,quān
摸,mō
仰,yǎng
润,rùn
堆,duī
碰,pèng
稍,shāo
迟,chí
辆,liàng
废,fèi
净,jìng
凶,xiōng
壁,bì
奉,fèng
旋,xuán
冬,dōng
矿,kuàng
抬,tái
蛋,dàn
晨,chén
吹,chuī
鸡,jī
倍,bèi
糊,hú
盾,dùn
杯,bēi
租,zū
骑,qí
乏,fá
诊,zhěn
摄,shè
丧,sàng
污,wū
渡,dù
旗,qí
耐,nài
凭,píng
扎,zhā
抢,qiǎng
绪,xù
粗,cū
肩,jiān
梁,liáng
幻,huàn
碎,suì
叔,shū
综,zōng
爬,pá
悉,xī
返,fǎn
井,jǐng
壮,zhuàng
薄,báo
悄,qiāo
扫,sǎo
敏,mǐn
碍,ài
殖,zhí
详,xiáng
矛,máo
允,yǔn
幅,fú
剩,shèng
颗,kē
骂,mà
赏,shǎng
液,yè
番,fān
箱,xiāng
贴,tiē
漫,màn
酸,suān
郎,láng
腰,yāo
舒,shū
忧,yōu
浮,fú
辛,xīn
恋,liàn
餐,cān
吓,xià
挺,tǐng
励,lì
辞,cí
键,jiàn
伍,wǔ
峰,fēng
尺,chǐ
昨,zuó
辈,bèi
贯,guàn
滑,huá
券,quàn
崇,chóng
扰,rǎo
绕,rào
趋,qū
阅,yuè
汗,hàn
枝,zhī
拖,tuō
墨,mò
胁,xié
插,chā
箭,jiàn
粉,fěn
泥,ní
拔,bá
骗,piàn
慧,huì
媒,méi
愤,fèn
扑,pū
龄,líng
惜,xī
豪,háo
跃,yuè
肃,sù
驶,shǐ
届,jiè
欣,xīn
惠,huì
册,cè
储,chǔ
闲,xián
惨,cǎn
洁,jié
宾,bīn
频,pín
磨,mó
递,dì
撞,zhuàng
滚,gǔn
奏,zòu
颜,yán
绩,jì
贡,gòng
疯,fēng
坡,pō
瞧,qiáo
截,jié
燃,rán
焦,jiāo
锁,suǒ
逼,bī
昏,hūn
劝,quàn
搜,sōu
勤,qín
戒,jiè
驾,jià
漂,piāo
饮,yǐn
朵,duǒ
仔,zǎi
俩,liǎ
腐,fǔ
幼,yòu
践,jiàn
籍,jí
凉,liáng
牲,shēng
佳,jiā
浓,nóng
稿,gǎo
竹,zhú
跌,diē
逻,luó
遵,zūn
貌,mào
猜,cāi
怜,lián
饰,shì
贷,dài
昌,chāng
躺,tǎng
钢,gāng
沟,gōu
寄,jì
扶,fú
铺,pù
寿,shòu
询,xún
汤,tāng
盗,dào
肥,féi
尝,cháng
辉,huī
奈,nài
扣,kòu
嘛,ma
迁,qiān
慰,wèi
厌,yàn
脏,zàng
幽,yōu
怨,yuàn
鞋,xié
丢,diū
埋,mái
泉,quán
躲,duǒ
紫,zǐ
艰,jiān
慌,huāng
祝,zhù
邮,yóu
吐,tǔ
狠,hěn
鉴,jiàn
械,xiè
咬,yǎo
邻,lín
挤,jǐ
弯,wān
椅,yǐ
陪,péi
揭,jiē
悟,wù
聪,cōng
锋,fēng
梯,tī
猫,māo
祥,xiáng
阔,kuò
誉,yù
牵,qiān
袖,xiù
蛇,shé
贺,hè
柱,zhù
鼠,shǔ
牢,láo
欺,qī
吨,dūn
琴,qín
瓶,píng
池,chí
疼,téng
冠,guān
浅,qiǎn
纠,jiū
钻,zuān
喷,pēn
耗,hào
敲,qiāo
菌,jūn
赔,péi
扁,biǎn
亏,kuī
煤,méi
熊,xióng
湿,shī
循,xún
暖,nuǎn
糖,táng
帽,mào
宿,sù
踏,tà
烂,làn
夹,jiā
肝,gān
擦,cā
猪,zhū
炼,liàn
搬,bān
玻,bō
铜,tóng
跨,kuà
押,yā
漠,mò
醉,zuì
斜,xié
档,dàng
肤,fū
肿,zhǒng
豆,dòu
岗,gǎng
吞,tūn
宏,hóng
肚,dù
涨,zhǎng
耀,yào
扭,niǔ
拨,bō
绘,huì
牺,xī
墓,mù
拼,pīn
捉,zhuō
刷,shuā
嫌,xián
瓜,guā
歇,xiē
乳,rǔ
串,chuàn
娃,wá
赢,yíng
桃,táo
瘦,shòu
搭,dā
嘉,jiā
址,zhǐ
悔,huǐ
邀,yāo
宅,zhái
添,tiān
挖,wā
氧,yǎng
羽,yǔ
斤,jīn
酷,kù
乙,yǐ
挣,zhēng
悬,xuán
仓,cāng
轨,guǐ
盐,yán
览,lǎn
傅,fù
帅,shuài
屏,píng
寺,sì
胖,pàng
璃,lí
滴,dī
丑,chǒu
寸,cùn
扔,rēng
匹,pǐ
俱,jù
饿,è
糟,zāo
肠,cháng
聊,liáo
挡,dǎng
纲,gāng
肌,jī
碗,wǎn
卧,wò
膜,mó
欠,qiàn
豫,yù
胃,wèi
舌,shé
傲,ào
拾,shí
棉,mián
晴,qíng
铃,líng
填,tián
渴,kě
扮,bàn
脆,cuì
炉,lú
柴,chái
愉,yú
眠,mián
喂,wèi
傻,shǎ
扇,shàn
柜,guì
诞,dàn
饱,bǎo
泡,pào
夕,xī
氛,fēn
杆,gān
挨,āi
甜,tián
顽,wán
摘,zhāi
矮,ǎi
秒,miǎo
披,pī
辅,fǔ
盆,pén
赌,dǔ
塑,sù
吵,chǎo
肺,fèi
吊,diào
漏,lòu
盒,hé
锅,guō
拆,chāi
盲,máng
裤,kù
栏,lán
艳,yàn
臭,chòu
棵,kē
愁,chóu
谅,liàng
畅,chàng
赠,zèng
冻,dòng
跪,guì
闯,chuǎng
葡,pú
厨,chú
鸭,yā
谊,yì
歉,qiàn
衫,shān
宴,yàn
薪,xīn
胶,jiāo
盼,pàn
账,zhàng
赚,zhuàn
撑,chēng
倡,chàng
猴,hóu
旺,wàng
伞,sǎn
萄,táo
抄,chāo
晕,yūn
掏,tāo
脾,pí
剪,jiǎn
懒,lǎn
叉,chā
拐,guǎi
捐,juān
骄,jiāo
聘,pìn
厘,lí
憾,hàn
摔,shuāi
巾,jīn
洒,sǎ
堵,dǔ
姨,yí
棒,bàng
硕,shuò
渠,qú
笨,bèn
啡,fēi
泼,pō
谦,qiān
刮,guā
郊,jiāo
篮,lán
饼,bǐng
兔,tù
咳,ké
爽,shuǎng
咖,kā
巩,gǒng
裹,guǒ
咨,zī
糕,gāo
谐,xié
辣,là
宠,chǒng
裙,qún
哇,wa
踢,tī
趟,tàng
帘,lián
苹,píng
娱,yú
蹲,dūn
衬,chèn
壶,hú
咸,xián
锻,duàn
汁,zhī
榜,bǎng
傍,bàng
踩,cǎi
煮,zhǔ
炒,chǎo
泳,yǒng
垃,lā
烤,kǎo
晒,shài
圾,jī
铅,qiān
逛,guàng
蹈,dǎo
绒,róng
澡,zǎo
蔬,shū
暑,shǔ
捡,jiǎn
啤,pí
厕,cè
梨,lí
粥,zhōu
袜,wà
醋,cù
酱,jiàng
蕉,jiāo
筷,kuài
茄,jiā
勺,sháo
柿,shì
薯,shǔ
馒,mán
饺,jiǎo
洲,zhōu
钥,yào
匙,shi
桶,tǒng
恼,nǎo
羡,xiàn
慕,mù
戚,qī
胳,gē
膊,bó
羞,xiū
嗽,sòu
膏,gāo
乒,pīng
乓,pāng
氏,shì
欧,ōu
哎,āi
荐,jiàn
恭,gōng
魅,mèi
寓,yù
迹,jì
玫,méi
瑰,guī
雾,wù
姿,zī
谨,jǐn
慎,shèn
陌,mò
祸,huò
催,cuī
齿,chǐ
擅,shàn
厦,shà
删,shān
碌,lù
蝴,hú
蝶,dié
翅,chì
膀,bǎng
厢,xiāng
钓,diào
浏,liú
橘,jú
浇,jiāo
窄,zhǎi
喻,yù
熬,áo
昆,kūn
姥,lǎo
桔,jú
悠,yōu
橡,xiàng
浆,jiāng
啥,shá
州,zhōu
姻,yīn
嫁,jià
狼,láng
艘,sōu
凌,líng
淘,táo
汰,tài
嗨,hāi
嘿,hēi
尴,gān
尬,gà
婴,yīng
踪,zōng
讶,yà
孕,yùn
栋,dòng
惧,jù
砍,kǎn
柔,róu
抛,pāo
脖,bó
寂,jì
寞,mò
瞬,shùn
娶,qǔ
呈,chéng
秩,zhì
犬,quǎn
痕,hén
晰,xī
狮,shī
惩,chéng
妆,zhuāng
弥,mí
烫,tàng
疫,yì
割,gē
臂,bì
携,xié
粒,lì
逗,dòu
履,lǚ
夸,kuā
抑,yì
拟,nǐ
矩,jǔ
脂,zhī
肪,fáng
覆,fù
睁,zhēng
赋,fù
拦,lán
廊,láng
迈,mài
嘲,cháo
遥,yáo
捧,pěng
勉,miǎn
劣,liè
椒,jiāo
罕,hǎn
链,liàn
棍,gùn
佩,pèi
妨,fáng
庞,páng
浴,yù
刹,shā
哟,yō
枕,zhěn
坛,tán
堡,bǎo
崭,zhǎn
疲,pí
耽,dān
虹,hóng
惑,huò
昂,áng
骤,zhòu
燥,zào
嗓,sǎng
蜜,mì
蜂,fēng
仗,zhàng
筹,chóu
兼,jiān
臣,chén
馈,kuì
挫,cuò
蓄,xù
涵,hán
裕,yù
株,zhū
鲨,shā
壤,rǎng
眉,méi
饥,jī
匆,cōng
舅,jiù
棕,zōng
衰,shuāi
筛,shāi
叙,xù
淹,yān
眨,zhǎ
屑,xiè
尘,chén
垂,chuí
屈,qū
腔,qiāng
氢,qīng
橙,chéng
捷,jié
菊,jú
匀,yún
瓷,cí
筒,tǒng
枯,kū
媳,xí
捆,kǔn
绑,bǎng
碳,tàn
噪,zào
旱,hàn
舟,zhōu
晾,liàng
稼,jià
颖,yǐng
甭,béng
棋,qí
旬,xún
涌,yǒng
朴,pǔ
笼,lóng
畔,pàn
喘,chuǎn
梢,shāo
帆,fān
匪,fěi
颈,jǐng
椎,chuí
斯,sī
涂,tú
抹,mǒ
荧,yíng
雌,cí
霞,xiá
卸,xiè
锈,xiù
唾,tuò
沫,mò
艇,tǐng
咽,yàn
勃,bó
粘,zhān
粽,zòng
沃,wò
贤,xián
踌,chóu
躇,chú
稻,dào
惹,rě
聋,lóng
哑,yǎ
伶,líng
俐,lì
滋,zī
螺,luó
丝,sī
钉,dīng
凹,āo
凸,tū
贬,biǎn
涛,tāo
汹,xiōng
斑,bān
纹,wén
崖,yá
峭,qiào
纬,wěi
恳,kěn
俯,fǔ
苗,miáo
葫,hú
芦,lú
碧,bì
砖,zhuān
瓦,wǎ
锦,jǐn
绣,xiù
纽,niǔ
摊,tān
怖,bù
袭,xí
砸,zá
盯,dīng
尸,shī
魂,hún
哼,hēng
剂,jì
屁,pì
瘤,liú
拳,quán
劫,jié
蛮,mán
狱,yù
吼,hǒu
皆,jiē
讼,sòng
邦,bāng
董,dǒng
甩,shuǎi
乖,guāi
逮,dǎi
轿,jiào
慈,cí
贼,zéi
宙,zhòu
瞎,xiā
坑,kēng
勋,xūn
亦,yì
诱,yòu
嫉,jí
妒,dù
贱,jiàn
署,shǔ
肾,shèn
拯,zhěng
崩,bēng
溃,kuì
雅,yǎ
邪,xié
芯,xīn
涯,yá
桩,zhuāng
擎,qíng
爹,diē
窝,wō
祈,qí
祷,dǎo
墅,shù
渣,zhā
佑,yòu
癌,ái
纤,xiān
胎,tāi
辜,gū
磅,bàng
谎,huǎng
叛,pàn
辐,fú
趴,pā
愈,yù
戳,chuō
曝,pù
浑,hún
宪,xiàn
御,yù
撼,hàn
隧,suì
鹰,yīng
氓,máng
霉,méi
侣,lǚ
粹,cuì
缠,chán
镑,bàng
鹿,lù
姆,mǔ
颁,bān
刑,xíng
兹,zī
绎,yì
灌,guàn
吻,wěn
掘,jué
谱,pǔ
恒,héng
宰,zǎi
捞,lāo
脉,mài
凤,fèng
凰,huáng
贿,huì
赂,lù
魔,mó
摧,cuī
槽,cáo
馨,xīn
奥,ào
唇,chún
愚,yú
蠢,chǔn
窃,qiè
凑,còu
惕,tì
膝,xī
撕,sī
舱,cāng
谍,dié
壳,ké
巡,xún
煎,jiān
喉,hóu
咙,lóng
瞒,mán
陈,chén
垫,diàn
誓,shì
纱,shā
哀,āi
罩,zhào
爵,jué
泣,qì
瞄,miáo
晶,jīng
捅,tǒng
掩,yǎn
艾,ài
